poleId,height,heightNumeric,diameter,poleType,status,latitude,longitude,ponNumber,zoneNumber,dropCount
LAW.P.D809,7m,7.0,120-140mm,distribution,Permission not granted,-26.38119221,27.80649531,189,16,0
LAW.P.D810,7m,7.0,120-140mm,distribution,Permission not granted,-26.38130779,27.80651771,189,16,0
LAW.P.D811,7m,7.0,140-160mm,feeder,Permission not granted,-26.38141892,27.806539241975198,189,16,0
LAW.P.D812,7m,7.0,140-160mm,feeder,Permission not granted,-26.38138787,27.806736703394698,189,16,0
LAW.P.D813,7m,7.0,140-160mm,feeder,Permission not granted,-26.37975714,27.80621925049171,190,16,0
LAW.P.D814,7m,7.0,140-160mm,feeder,Permission not granted,-26.37974398,27.80629605,190,16,0
LAW.P.D815,7m,7.0,140-160mm,feeder,Permission not granted,-26.37956617,27.80626158,190,16,0
LAW.P.D816,7m,7.0,140-160mm,feeder,Permission not granted,-26.37957859,27.80618259,190,16,0
LAW.P.D817,7m,7.0,140-160mm,feeder,Permission not granted,-26.37961583,27.80594573,190,16,0
LAW.P.D818,7m,7.0,140-160mm,feeder,Permission not granted,-26.37942565,27.806153017542798,190,16,0
LAW.P.D819,7m,7.0,140-160mm,feeder,Permission not granted,-26.3794567,27.8059556,190,16,0
LAW.P.D820,7m,7.0,120-140mm,distribution,Permission not granted,-26.37920072,27.806109419953298,190,16,0
LAW.P.D821,7m,7.0,140-160mm,feeder,Permission not granted,-26.37908963,27.806087888639002,190,16,0
LAW.P.D822,7m,7.0,140-160mm,feeder,Permission not granted,-26.37905858,27.80628531,190,16,0
LAW.P.D823,7m,7.0,120-140mm,distribution,Permission not granted,-26.37886291,27.80604395,190,16,0
LAW.P.D824,7m,7.0,140-160mm,feeder,Permission not granted,-26.37875176,27.8060224,190,16,0
LAW.P.D825,7m,7.0,140-160mm,feeder,Permission not granted,-26.3787828,27.805824975465697,190,16,0
LAW.P.D826,7m,7.0,120-140mm,distribution,Permission not granted,-26.37864059,27.806000878884596,190,16,0
LAW.P.D827,7m,7.0,140-160mm,feeder,Permission not granted,-26.37841389,27.805956918655497,190,16,0
LAW.P.D828,7m,7.0,140-160mm,feeder,Permission not granted,-26.37845113,27.80572003,190,16,0
LAW.P.D829,7m,7.0,140-160mm,feeder,Permission not granted,-26.37837665,27.806193791427802,190,16,0
LAW.P.D830,7m,7.0,140-160mm,feeder,Permission not granted,-26.37973231,27.807127847020197,191,17,0
LAW.P.D831,7m,7.0,140-160mm,feeder,Permission not granted,-26.37992791,27.807165728045003,191,17,0
LAW.P.D832,7m,7.0,140-160mm,feeder,Permission not granted,-26.37988706,27.80742552,191,17,0
LAW.P.D833,7m,7.0,120-140mm,distribution,Permission not granted,-26.37994912,27.807030796095297,191,17,0
LAW.P.D834,7m,7.0,140-160mm,feeder,Permission not granted,-26.37996981,27.806899220114097,191,17,0
LAW.P.D835,7m,7.0,120-140mm,distribution,Permission not granted,-26.38015462,27.80720966,191,17,0
LAW.P.D836,7m,7.0,140-160mm,feeder,Permission not granted,-26.38026575,27.8072312,191,17,0
LAW.P.D837,7m,7.0,140-160mm,feeder,Permission not granted,-26.38029676,27.807033787983002,191,17,0
LAW.P.D838,7m,7.0,120-140mm,distribution,Permission not granted,-26.38037688,27.807252740219397,191,17,0
