Property ID;Old Status;New Status;Status Changed;Pole Changed;Workflow Changed;Location
284378;Pole Permission: Approved;Pole Permission: Approved;No;No;Yes;82 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB
279313;Pole Permission: Approved;Pole Permission: Approved;No;No;Yes;59 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB
277244;Pole Permission: Approved;Pole Permission: Approved;No;No;Yes;57 REBONE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB
277268;Pole Permission: Approved;Pole Permission: Approved;No;No;Yes;53 REBONE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB
277305;Pole Permission: Approved;Pole Permission: Approved;No;No;Yes;47 REBONE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB
277342;Pole Permission: Approved;Pole Permission: Approved;No;No;Yes;43 REBONE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB
275760;Pole Permission: Approved;Pole Permission: Approved;No;No;Yes;53 MOLAO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB
279830;Pole Permission: Approved;Home Sign Ups: Approved & Installation Scheduled;Pole Permission: Approved → Home Sign Ups: Approved & Installation Scheduled;No;Yes;30 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB
283514;Home Sign Ups: Approved & Installation Scheduled;Home Sign Ups: Approved & Installation Scheduled;No;No;Yes;61 BLUEHEAD CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB
