No.,File Name,Pole ID,Status,Full Address,Latitude,Longitude,GPS Coordinates,Date/Time
73,FWNA8701.JPG,ETT-0073,PENDING,,,,,
74,FZCN1104.JPG,ETT-0074,PENDING,,,,,
75,GBBN9148.JPG,ETT-0075,EXTRACTED,"Siyabonga Street, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.378948,27.809967,"-26.378948, 27.809967",07/23/2025 01:56 PM GMT+02:00
76,GDJF1059.JPG,ETT-0076,PENDING,,,,,
77,GFXE6104.JPG,ETT-0077,PENDING,,,,,
78,GHOQ0380.JPG,ETT-0078,PENDING,,,,,
79,GPLX1215.JPG,ETT-0079,PENDING,,,,,
80,GTVE5972.JPG,ETT-0080,PENDING,,,,,
81,GUFJ6642.JPG,ETT-0081,PENDING,,,,,
82,GVSQ9506.JPG,ETT-0082,PENDING,,,,,
83,GXLF7888.JPG,ETT-0083,PENDING,,,,,
84,GXPW1294.JPG,ETT-0084,PENDING,,,,,
85,GYRT1650.JPG,ETT-0085,PENDING,,,,,
86,GZAZ0002.JPG,ETT-0086,PENDING,,,,,
87,GZZE1257.JPG,ETT-0087,PENDING,,,,,
88,HEBR8966.JPG,ETT-0088,PENDING,,,,,
89,HFJW0466.JPG,ETT-0089,PENDING,,,,,
90,HJTK6524.JPG,ETT-0090,PENDING,,,,,
91,HNWT8378.JPG,ETT-0091,PENDING,,,,,
92,HRHV1719.JPG,ETT-0092,EXTRACTED,"5th Avenue, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.382739,27.805834,"-26.382739, 27.805834",07/24/2025 03:35 PM GMT+02:00
93,HXDI7619.JPG,ETT-0093,PENDING,,,,,
94,IHDN2384.JPG,ETT-0094,PENDING,,,,,
95,IKNO0666.JPG,ETT-0095,PENDING,,,,,
96,INYM6657.JPG,ETT-0096,PENDING,,,,,
97,ITSN6013.JPG,ETT-0097,PENDING,,,,,
98,IWTO6731.JPG,ETT-0098,PENDING,,,,,
99,IXQJ4199.JPG,ETT-0099,PENDING,,,,,
100,JBCX2606.JPG,ETT-0100,PENDING,,,,,
101,JFMR0303.JPG,ETT-0101,PENDING,,,,,
102,JHBL4173.JPG,ETT-0102,PENDING,,,,,
103,JICW4677.JPG,ETT-0103,PENDING,,,,,
104,JIFA6525.JPG,ETT-0104,PENDING,,,,,
105,JKBX4547.JPG,ETT-0105,PENDING,,,,,
106,JMGZ5849.JPG,ETT-0106,PENDING,,,,,
107,JOHX8627.JPG,ETT-0107,PENDING,,,,,
108,JORC3951.JPG,ETT-0108,PENDING,,,,,
109,JOXT4885.JPG,ETT-0109,PENDING,,,,,
110,JQAP0618.JPG,ETT-0110,PENDING,,,,,
111,JRBO4719.JPG,ETT-0111,PENDING,,,,,
112,JRES8871.JPG,ETT-0112,PENDING,,,,,
113,JRJK0074.JPG,ETT-0113,PENDING,,,,,
114,JTDL8318.JPG,ETT-0114,PENDING,,,,,
115,JUTQ2605.JPG,ETT-0115,PENDING,,,,,
116,KBFG9863.JPG,ETT-0116,PENDING,,,,,
117,KBJL5416.JPG,ETT-0117,PENDING,,,,,
118,KCNR7774.JPG,ETT-0118,PENDING,,,,,
119,KFAG2719.JPG,ETT-0119,PENDING,,,,,
120,KFPC4033.JPG,ETT-0120,PENDING,,,,,
121,KHXE4166.JPG,ETT-0121,PENDING,,,,,
122,KPPR4041.JPG,ETT-0122,PENDING,,,,,
123,KSLO7547.JPG,ETT-0123,PENDING,,,,,
124,KTRN8339.JPG,ETT-0124,PENDING,,,,,
125,KTRZ9107.JPG,ETT-0125,PENDING,,,,,
126,KUJV1094.JPG,ETT-0126,PENDING,,,,,
127,KXNH1740.JPG,ETT-0127,PENDING,,,,,
128,KZJG1774.JPG,ETT-0128,PENDING,,,,,
129,LAIT5665.JPG,ETT-0129,PENDING,,,,,
130,LAOI2088.JPG,ETT-0130,PENDING,,,,,
131,LAUZ9813.JPG,ETT-0131,PENDING,,,,,
132,LCAA3476.JPG,ETT-0132,PENDING,,,,,
133,LCPN6936.JPG,ETT-0133,PENDING,,,,,
134,LDVG2848.JPG,ETT-0134,PENDING,,,,,
135,LEFU9103.JPG,ETT-0135,EXTRACTED,"Piranha Crescent, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.39649,27.813118,"-26.39649, 27.813118",07/23/2025 11:22 AM GMT+02:00
136,LGEK4848.JPG,ETT-0136,PENDING,,,,,
137,LHXN9576.JPG,ETT-0137,PENDING,,,,,
138,LJOK8305.JPG,ETT-0138,PENDING,,,,,
139,LJWO4036.JPG,ETT-0139,PENDING,,,,,
140,LKCO8361.JPG,ETT-0140,PENDING,,,,,
141,LLJV1719.JPG,ETT-0141,PENDING,,,,,
142,LLYH5166.JPG,ETT-0142,PENDING,,,,,
143,LNFJ1362.JPG,ETT-0143,PENDING,,,,,
144,LNUF3952.JPG,ETT-0144,PENDING,,,,,
145,LORQ7337.JPG,ETT-0145,PENDING,,,,,
146,LRJS8723.JPG,ETT-0146,PENDING,,,,,
147,LUGB2444.JPG,ETT-0147,PENDING,,,,,
148,LVQS7719.JPG,ETT-0148,PENDING,,,,,
149,LZMD6695.JPG,ETT-0149,PENDING,,,,,
150,MEOY2576.JPG,ETT-0150,PENDING,,,,,
151,MHVE8681.JPG,ETT-0151,PENDING,,,,,
152,MIHO6036.JPG,ETT-0152,PENDING,,,,,
153,MITJ8514.JPG,ETT-0153,PENDING,,,,,
154,MKPF8039.JPG,ETT-0154,PENDING,,,,,
155,MMSV5273.JPG,ETT-0155,PENDING,,,,,
156,MNQG8362.JPG,ETT-0156,PENDING,,,,,
157,MNYP0514.JPG,ETT-0157,PENDING,,,,,
158,MPLA1520.JPG,ETT-0158,PENDING,,,,,
159,MPLP6039.JPG,ETT-0159,PENDING,,,,,
160,MQKV3530.JPG,ETT-0160,PENDING,,,,,
161,MTKL1685.JPG,ETT-0161,PENDING,,,,,
162,MUPB9447.JPG,ETT-0162,PENDING,,,,,
163,MYFJ4833.JPG,ETT-0163,PENDING,,,,,
164,MZNQ5821.JPG,ETT-0164,PENDING,,,,,
165,NBAP8668.JPG,ETT-0165,PENDING,,,,,
166,NDXC1328.JPG,ETT-0166,PENDING,,,,,
167,NHZW0821.JPG,ETT-0167,PENDING,,,,,
168,NJOI9127.JPG,ETT-0168,PENDING,,,,,
169,NKSR0571.JPG,ETT-0169,PENDING,,,,,
170,NKWG1103.JPG,ETT-0170,PENDING,,,,,
171,NPQM8530.JPG,ETT-0171,PENDING,,,,,
172,NQRV6326.JPG,ETT-0172,PENDING,,,,,
173,NRIH6438.JPG,ETT-0173,PENDING,,,,,
174,NRLG8531.JPG,ETT-0174,PENDING,,,,,
175,NTIE7033.JPG,ETT-0175,PENDING,,,,,
176,NWLG6313.JPG,ETT-0176,PENDING,,,,,
177,NWMR0749.JPG,ETT-0177,PENDING,,,,,
178,NYJO1308.JPG,ETT-0178,PENDING,,,,,
179,NZCB5613.JPG,ETT-0179,PENDING,,,,,
180,OCBS9373.JPG,ETT-0180,PENDING,,,,,
181,ODND8736.JPG,ETT-0181,PENDING,,,,,
182,ODWC0090.JPG,ETT-0182,PENDING,,,,,
183,OEAH5618.JPG,ETT-0183,PENDING,,,,,
184,OEBI3834.JPG,ETT-0184,PENDING,,,,,
