Property ID,Status,Location Address,GPS Latitude,GPS Longitude,Field Agent,Last Modified,Import Date,Flagged Date
243566,Missing,8016 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 10:17:49.441834+02,2025-07-21T09:06:33.318Z,2025-07-21
243569,Missing,8098 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 10:19:51.054219+02,2025-07-21T09:06:32.804Z,2025-07-21
243583,Missing,8078 FOURTH AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 10:28:24.539286+02,2025-07-21T09:06:32.804Z,2025-07-21
243584,Missing,8089 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 10:28:24.831243+02,2025-07-21T09:06:32.804Z,2025-07-21
243677,Missing,7817 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:10:11.79313+02,2025-07-21T09:06:31.961Z,2025-07-21
243715,Missing,8033 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:32:31.974638+02,2025-07-21T09:06:33.317Z,2025-07-21
243716,Missing,8093 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:32:33.567122+02,2025-07-21T09:06:32.804Z,2025-07-21
243717,Missing,8097 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:32:35.886333+02,2025-07-21T09:06:33.317Z,2025-07-21
243719,Missing,8076 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:32:37.673665+02,2025-07-21T09:06:31.960Z,2025-07-21
243720,Missing,8104 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:32:40.923991+02,2025-07-21T09:06:31.961Z,2025-07-21
243721,Missing,8107 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:32:41.357071+02,2025-07-21T09:06:31.961Z,2025-07-21
243722,Missing,8107 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 11:32:41.634947+02,2025-07-21T09:06:31.961Z,2025-07-21
243748,Missing,8386 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.383275013189,27.8130977382849,No Agent,2025-04-30 11:51:43.912301+02,2025-07-21T07:56:03.662Z,2025-07-21
243780,Missing,8580 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3841204847743,27.8132429117519,No Agent,2025-04-30 12:06:24.704738+02,2025-07-21T07:56:01.716Z,2025-07-21
243891,Missing,7351 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3810684442836,27.8126887826689,No Agent,2025-04-30 13:32:50.700071+02,2025-07-21T07:56:07.489Z,2025-07-21
243892,Missing,7351 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3810684442836,27.8126887826689,No Agent,2025-04-30 13:32:50.933615+02,2025-07-21T07:56:07.241Z,2025-07-21
243893,Missing,7355 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3803759693014,27.8125456339883,No Agent,2025-04-30 13:32:52.051753+02,2025-07-21T07:56:08.376Z,2025-07-21
243894,Missing,7343 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3799758929056,27.8124653381155,No Agent,2025-04-30 13:32:52.605515+02,2025-07-21T09:04:48.259Z,2025-07-21
243911,Missing,7992 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-04-30 13:51:28.048391+02,2025-07-21T09:06:32.802Z,2025-07-21
243913,Missing,6892 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3779877483259,27.8086945893199,No Agent,2025-04-30 13:51:32.771061+02,2025-07-21T07:57:06.961Z,2025-07-21
243914,Missing,7540 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3821055221706,27.8123667289921,No Agent,2025-04-30 13:51:35.078876+02,2025-07-21T09:04:51.913Z,2025-07-21
244446,Missing,6369 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3775816986404,27.8086496152293,No Agent,2025-05-01 09:56:10.269861+02,2025-07-21T07:57:10.288Z,2025-07-21
244448,Missing,6995 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3807720118064,27.8117594505389,No Agent,2025-05-01 09:56:11.570365+02,2025-07-21T09:04:48.950Z,2025-07-21
244452,Missing,"KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.380787034377363, 27.81186947454195]",-26.3807870343774,27.811869474542,No Agent,2025-05-01 09:59:43.979963+02,2025-07-21T09:04:49.706Z,2025-07-21
244453,Missing,7097 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3807865303111,27.8118711418108,No Agent,2025-05-01 09:59:44.356881+02,2025-07-21T09:04:50.088Z,2025-07-21
244454,Missing,7097 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3807851121921,27.8118709903476,No Agent,2025-05-01 09:59:44.683171+02,2025-07-21T09:04:49.528Z,2025-07-21
244525,Missing,8171 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-01 10:52:41.232326+02,2025-07-21T09:06:31.389Z,2025-07-21
244548,Missing,8175 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-01 11:02:53.44804+02,2025-07-21T09:06:35.557Z,2025-07-21
244672,Missing,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.3777699, 27.8088079]",-26.3777699,27.8088079,No Agent,2025-05-01 12:38:51.948171+02,2025-07-21T07:57:07.211Z,2025-07-21
244674,Missing,622 BASS PLACE LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-01 12:40:00.584631+02,2025-07-21T09:06:36.118Z,2025-07-21
245486,Missing,8221 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3858888253008,27.8134211552968,No Agent,2025-05-02 11:41:02.692108+02,2025-07-21T07:55:57.596Z,2025-07-21
245487,Missing,8227 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3861485884447,27.8125572429734,No Agent,2025-05-02 11:41:39.927496+02,2025-07-21T07:55:58.468Z,2025-07-21
245531,Missing,8227 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3861485884447,27.8125572429734,No Agent,2025-05-02 12:17:24.458499+02,2025-07-21T07:55:58.656Z,2025-07-21
245532,Missing,8227 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3861485884447,27.8125572429734,No Agent,2025-05-02 12:17:24.632595+02,2025-07-21T07:55:58.858Z,2025-07-21
245533,Missing,8229 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 12:17:24.743499+02,2025-07-21T09:06:33.318Z,2025-07-21
245535,Missing,8229 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 12:17:24.970358+02,2025-07-21T09:06:33.318Z,2025-07-21
245536,Missing,8229 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 12:17:25.076121+02,2025-07-21T09:06:33.318Z,2025-07-21
245819,Missing,8201 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:24.224226+02,2025-07-21T09:06:33.957Z,2025-07-21
245820,Missing,8206 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:24.708442+02,2025-07-21T09:06:33.318Z,2025-07-21
245821,Missing,8206 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:24.884987+02,2025-07-21T09:06:33.318Z,2025-07-21
245822,Missing,8206 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:25.039536+02,2025-07-21T09:06:33.318Z,2025-07-21
245823,Missing,38 BONITO CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:25.242279+02,2025-07-21T09:06:33.318Z,2025-07-21
245824,Missing,38 BONITO CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:25.51726+02,2025-07-21T09:06:33.318Z,2025-07-21
245825,Missing,38 BONITO CRESCENT LAWLEY LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:25.740118+02,2025-07-21T09:06:33.318Z,2025-07-21
245826,Missing,8226 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,-26.3861452264928,27.8125579997437,No Agent,2025-05-02 14:12:26.447749+02,2025-07-21T07:55:58.252Z,2025-07-21
245827,Missing,8045 THIRD AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:27.264364+02,2025-07-21T09:06:33.317Z,2025-07-21
245828,Missing,8163 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:29.418758+02,2025-07-21T09:06:33.958Z,2025-07-21
245829,Missing,8120 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:12:30.68206+02,2025-07-21T09:06:31.960Z,2025-07-21
245839,Missing,8132 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:16:04.608884+02,2025-07-21T09:06:33.958Z,2025-07-21
245939,Missing,8117 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-02 14:56:35.901755+02,2025-07-21T09:06:31.389Z,2025-07-21
246957,Missing,8064 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,,No Agent,2025-05-05 08:35:38.733243+02,2025-07-21T09:06:33.317Z,2025-07-21
246974,Missing,7165 SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3790768162918,27.8122835097511,No Agent,2025-05-05 08:56:14.599714+02,2025-07-21T09:04:46.701Z,2025-07-21
247179,Missing,6933 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3784615980546,27.8108944024974,No Agent,2025-05-05 10:09:09.032732+02,2025-07-21T07:57:31.085Z,2025-07-21
247180,Missing,6917 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3781748697837,27.8103986003223,No Agent,2025-05-05 10:09:20.016495+02,2025-07-21T07:57:05.695Z,2025-07-21
247196,Missing,7173 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3775943408117,27.8120032940482,No Agent,2025-05-05 10:16:13.777838+02,2025-07-21T07:57:25.618Z,2025-07-21
247197,Missing,7100 LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3768027245564,27.8119953225126,No Agent,2025-05-05 10:16:15.899547+02,2025-07-21T07:56:40.340Z,2025-07-21
247351,Missing,7137 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3769751266853,27.8124138324317,No Agent,2025-05-05 11:11:06.443171+02,2025-07-21T07:57:23.554Z,2025-07-21
247372,Missing,6329 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,-26.3770763815129,27.8103278395876,No Agent,2025-05-05 11:19:12.832828+02,2025-07-21T07:57:14.217Z,2025-07-21
